ID,Test Steps,Expected results,A result,Comment
1,"Kiểm tra vị trí/màu sắc/kích cỡ button, input, label ở màn hình Đăng nhập","Giao diện đúng vị trí, màu sắc, kích thước theo design","Not Run",""
2,"Click mở form Đăng nhập từ màn hình khởi động","Vào màn hình form Đăng nhập","Not Run",""
3,"Kiểm tra nút Đăng nhập đúng font/kích thước/trạng thái enabled/disabled","Nút hiển thị đúng specs; disabled khi thiếu dữ liệu","Not Run",""
4,"Ô Email hiển thị placeholder và nhận kiểu nhập email","Placeholder đúng; bàn phím email; nhận ký tự bình thường","Not Run",""
5,"Ô Mật khẩu hiển thị placeholder và che ký tự","Placeholder đúng; nhập được; che ký tự","Not Run",""
6,"Icon mắt bật/tắt hiển thị mật khẩu","Chuyển đổi giữa hiện/ẩn mật khẩu mượt; không lỗi hiển thị","Not Run",""
7,"Bấm Quên mật khẩu ở màn hình Đăng nhập","Điều hướng tới trang/đối thoại reset mật khẩu","Not Run",""
8,"Nhập email hợp lệ rồi xóa; kiểm tra placeholder xuất hiện lại","Placeholder/Hint xuất hiện lại đúng khi ô trống","Not Run",""
9,"Nhập chuỗi dài vào email/mật khẩu để kiểm tra tràn layout","Không vỡ layout; text cắt/scroll hợp lý","Not Run",""
10,"Đổi orientation portrait/landscape trên màn hình Đăng nhập","Bố cục responsive; không tràn/đè chữ","Not Run",""
11,"Kiểm tra vị trí/màu/kích thước các trường ở màn hình Đăng ký","Các trường hiển thị đủ; cân đối theo design","Not Run",""
12,"Nhập dữ liệu hợp lệ vào Email/Password/Confirm/Name","Nhận input đầy đủ; không lag; không cắt ký tự","Not Run",""
13,"Nhập Confirm Password không khớp với Password","Hiển thị thông báo lỗi rõ ràng; màu sắc đúng quy chuẩn","Not Run",""
14,"Checkbox Đồng ý điều khoản hiển thị và có thể tick","Trạng thái icon đổi đúng; tick/untick hoạt động","Not Run",""
15,"Nút Đăng ký chuyển trạng thái theo input thiếu/đủ dữ liệu","Disabled khi thiếu; enabled khi đủ; màu/trạng thái đúng","Not Run",""
16,"Nhấn link Đã có tài khoản? Đăng nhập ở màn hình Đăng ký","Điều hướng sang màn hình Đăng nhập; UI đầy đủ","Not Run",""
17,"Kiểm tra thanh tiêu đề logo/tên app/nút menu ở màn hình Home","Logo/tên/nút điều hướng hiển thị đúng","Not Run",""
18,"Kiểm tra layout item trong feed ảnh, tên, nút hành động","Mỗi item hiển thị đủ phần; không vỡ layout","Not Run",""
19,"Bấm nút Like/Match trên item","Nút phản hồi đúng; trạng thái/animation theo design","Not Run",""
20,"Feed rỗng mô phỏng để kiểm tra empty state","Hiển thị thông báo/ảnh minh hoạ; không crash","Not Run",""
21,"Cuộn danh sách dài; quan sát hiệu ứng tải thêm/placeholder","Cuộn mượt; placeholder hiển thị đúng lúc","Not Run",""
22,"Kiểm tra nút tìm kiếm/ô search trên Home","Ô search nhận input; icon/nút hoạt động; kết quả hiển thị","Not Run",""
23,"Kiểm tra thông báo badge/biểu tượng trên thanh công cụ","Hiển thị đúng số lượng/biểu tượng; cập nhật khi có item mới","Not Run",""
24,"Vào màn Hồ sơ; kiểm tra Avatar/Name/Bio","Hiển thị đúng; ảnh bo góc nếu design; text đầy đủ","Not Run",""
25,"Bấm nút Chỉnh sửa ở Hồ sơ","Mở form Edit Profile; UI đầy đủ","Not Run",""
26,"Nhập Name/Bio/Sở thích trong Edit Profile","Nhận input đúng; validate UI độ dài/ký tự","Not Run",""
27,"Bấm Lưu trong Edit Profile","Hiển thị loading rồi thông báo thành công","Not Run",""
28,"Kiểm tra placeholder/hint xuất hiện khi trường trống ở Edit Profile","Placeholder/Hint hiển thị đúng khi xoá nội dung","Not Run",""
29,"Vào Cài đặt; kiểm tra icon/label từng mục","Icon rõ; label đúng ngôn ngữ; khoảng cách đều","Not Run",""
30,"Bật/Tắt switch Thông báo trong Cài đặt","Trạng thái đổi; màu/animation đúng","Not Run",""
31,"Điều hướng tới Bảo mật từ Cài đặt","Mở trang tương ứng; UI đầy đủ","Not Run",""
32,"Điều hướng tới Ngôn ngữ từ Cài đặt","Mở trang tương ứng; UI đầy đủ; hiển thị ngôn ngữ đúng","Not Run",""
33,"Nút Đăng xuất hiển thị nổi bật và confirm dialog","Hiển thị rõ; dialog xác nhận xuất hiện; nội dung dễ hiểu","Not Run",""
34,"Quan sát trạng thái loading khi thao tác gọi API","Spinner/progress hiển thị khi chờ; không che nội dung chính","Not Run",""
35,"Gây lỗi có kiểm soát để hiển thị toast/banner/dialog","Thông báo lỗi nhất quán; text dễ hiểu; dễ đóng","Not Run",""
36,"Kiểm tra kích cỡ text/hit area nút a11y cơ bản","Kích thước đủ để bấm/đọc; tương phản tốt","Not Run",""
37,"Kiểm tra ngắt dòng/ellipsis cho tiêu đề dài","Không vỡ layout; text cắt/ellipsis đúng vị trí","Not Run",""
38,"Kiểm tra hiển thị ngôn ngữ vi/en nếu app hỗ trợ","Label/placeholder/format theo ngôn ngữ chọn","Not Run",""
39,"Kiểm tra overlay/modal không che nút quan trọng","Modal đặt đúng cấp; có thể đóng; không che controls chính","Not Run",""
40,"Kiểm tra dark mode nếu app hỗ trợ màu nền/contrast","Màu nền/contrast đúng; nội dung dễ đọc; icon phù hợp","Not Run",""
